#{"t_start": 1680874795.764268, "env_id": null}
r,l,t
0.75,4,3.463443
0.75,4,3.46538
0.75,4,3.467424
0.5,4,3.469258
0.25,4,3.471176
0.5,4,3.472994
0.0,4,3.47465
1.0,3,3.475859
0.5,4,3.477749
0.25,4,3.479994
0.25,4,3.48211
0.25,4,3.48414
0.25,4,3.486164
0.75,4,3.488171
1.0,4,3.490286
0.5,4,3.49239
0.0,4,3.494635
0.25,4,3.496821
0.25,4,3.499094
0.25,4,3.501195
0.75,4,3.503252
0.5,4,3.505328
1.0,4,3.507352
0.75,4,3.509503
0.0,4,3.511488
0.0,4,3.513475
0.75,4,3.515353
0.0,4,3.517289
0.5,4,3.51934
0.25,4,3.521465
0.0,4,3.523509
0.5,4,3.52545
0.0,4,3.527304
0.25,4,3.52928
0.25,4,3.531182
0.5,4,3.533206
1.0,3,3.534741
0.25,4,3.53675
0.25,4,3.538714
0.5,4,3.540725
0.25,4,3.542791
0.75,4,3.544809
0.0,4,3.546841
0.0,4,3.548754
0.5,4,3.550867
0.0,4,3.552902
0.0,4,3.554978
0.75,4,3.556771
0.0,4,3.558685
0.75,4,3.560578
0.25,4,3.562489
0.75,4,3.564554
0.5,4,3.566696
0.5,4,3.568693
0.75,4,3.570646
0.5,4,3.572619
0.25,4,3.574636
0.25,4,3.576554
0.75,4,3.578576
0.75,4,3.580678
0.5,4,3.58277
0.0,4,3.584649
0.5,4,3.586555
0.75,4,3.588522
0.75,4,3.590431
0.25,4,3.59228
0.25,4,3.594324
0.75,4,3.596169
0.0,4,3.598103
0.25,4,3.600012
0.5,4,3.601877
0.25,4,3.6038
0.5,4,3.605857
0.0,4,3.607534
0.5,4,3.609393
0.5,4,3.611462
0.5,4,3.613417
0.25,4,3.615309
0.25,4,3.617426
0.25,4,3.619309
0.5,4,3.621136
0.25,4,3.623148
0.5,4,3.625189
0.75,4,3.627109
1.0,4,3.629058
0.25,4,3.631142
0.5,4,3.633012
1.0,4,3.634806
0.75,4,3.63679
0.25,4,3.638672
0.5,4,3.640572
0.75,4,3.642426
0.25,4,3.644439
0.25,4,3.646572
0.25,4,3.648386
0.0,4,3.650412
0.5,4,3.652436
0.75,4,3.654284
0.0,4,3.656193
0.5,4,3.658048
0.5,4,3.659962
0.25,4,3.662022
0.75,4,3.663986
0.25,4,3.666005
0.25,4,3.667969
0.25,4,3.670116
0.0,4,3.672233
0.25,4,3.674284
0.5,4,3.676299
0.75,4,3.678329
0.25,4,3.680333
0.25,4,3.682306
0.25,4,3.684329
0.25,4,3.686216
0.0,4,3.688402
1.0,4,3.690382
0.75,4,3.692355
1.0,3,3.693859
0.5,4,3.695772
0.75,4,3.69773
0.25,4,3.699722
0.25,4,3.701708
0.75,4,3.703812
0.25,4,3.70597
0.5,4,3.707964
0.25,4,3.709991
0.25,4,3.712058
0.5,4,3.714068
0.25,4,3.716055
0.0,4,3.717839
0.5,4,3.71961
0.25,4,3.721562
0.75,4,3.723597
0.75,4,3.725565
0.5,4,3.727489
0.25,4,3.729554
0.5,4,3.731485
0.5,4,3.733581
0.75,4,3.735753
0.75,4,3.73761
0.5,4,3.739557
0.75,4,3.741611
0.0,4,3.743606
0.25,4,3.74561
0.0,4,3.747491
1.0,3,3.749189
0.75,4,3.751082
0.5,4,3.752984
0.25,4,3.754942
0.5,4,3.756722
0.0,4,3.758645
1.0,4,3.760579
0.25,4,3.762558
0.5,4,3.764515
0.5,4,3.766614
0.25,4,3.768646
0.75,4,3.770583
0.25,4,3.772589
0.5,4,3.774651
0.75,4,3.776626
0.75,4,3.778731
1.0,4,3.780469
0.75,4,3.782303
0.0,4,3.784358
0.0,4,3.786419
0.5,4,3.788473
0.5,4,3.790433
0.5,4,3.792529
0.5,4,3.794563
0.5,4,3.796514
0.0,4,3.798321
0.5,4,3.800431
0.5,4,3.802542
0.5,4,3.804602
0.5,4,3.806576
0.5,4,3.808281
0.75,4,3.810122
0.5,4,3.81197
0.25,4,3.813745
0.75,4,3.815526
0.25,4,3.817432
0.25,4,3.81956
0.75,4,3.821569
0.75,4,3.823398
0.5,4,3.825358
0.75,4,3.82729
0.5,4,3.82911
0.5,4,3.830936
0.5,4,3.832819
0.75,4,3.834752
0.25,4,3.836721
0.25,4,3.838798
0.75,4,3.840732
0.5,4,3.84282
0.25,4,3.844911
0.5,4,3.847003
0.25,4,3.849094
0.25,4,3.850993
0.25,4,3.852942
0.25,4,3.854884
0.25,4,3.856909
0.0,4,3.858978
0.0,4,3.861035
0.5,4,3.863008
0.75,4,3.864999
0.5,4,3.86685
0.75,4,3.868791
1.0,3,3.870062
0.75,4,3.872144
0.25,4,3.874036
0.75,4,3.875791
0.0,4,3.877567
0.25,4,3.879557
0.5,4,3.881576
0.25,4,3.88369
0.5,4,3.885575
0.5,4,3.887297
0.25,4,3.889187
0.75,4,3.89101
0.75,4,3.892849
0.25,4,3.894658
0.5,4,3.896426
0.5,4,3.89823
0.25,4,3.89988
0.75,4,3.901667
0.75,4,3.903538
0.25,4,3.905319
0.5,4,3.907238
0.75,4,3.909308
0.25,4,3.911093
0.25,4,3.913097
0.75,4,3.915012
0.75,4,3.916978
0.0,4,3.918908
0.25,4,3.920672
0.5,4,3.922396
0.25,4,3.924302
0.5,4,3.926217
0.5,4,3.928162
0.5,4,3.930121
0.0,4,3.931978
0.5,4,3.933797
0.25,4,3.93586
0.5,4,3.93786
0.5,4,3.939968
0.5,4,3.942161
0.5,4,3.944269
0.0,4,3.946222
0.5,4,3.948119
0.75,4,3.949836
0.25,4,3.951945
0.0,4,3.953808
0.5,4,3.955712
0.75,4,3.957515
0.75,4,3.959498
0.5,4,3.961555
0.0,4,3.963358
0.75,4,3.965413
0.25,4,3.967353
0.0,4,3.969339
0.25,4,3.971257
0.0,4,3.973281
0.25,4,3.975335
0.5,4,3.977475
0.75,4,3.979308
0.25,4,3.981161
0.5,4,3.983116
0.25,4,3.985213
0.25,4,3.987261
0.25,4,3.989344
0.0,4,3.991337
0.5,4,3.993272
0.25,4,3.995306
0.25,4,3.997422
0.25,4,3.999308
0.5,4,4.001348
0.25,4,4.003171
0.5,4,4.005213
0.25,4,4.007169
0.25,4,4.009299
1.0,3,4.010728
0.75,4,4.012592
0.5,4,4.014607
0.25,4,4.016601
0.25,4,4.018696
0.25,4,4.020586
0.5,4,4.022593
0.5,4,4.024571
0.25,4,4.026513
0.25,4,4.028395
0.5,4,4.030311
0.25,4,4.032506
0.75,4,4.034553
0.25,4,4.036558
0.25,4,4.03844
0.5,4,4.040397
1.0,4,4.042382
0.75,4,4.044423
0.25,4,4.046385
1.0,3,4.047862
0.0,4,4.049843
0.25,4,4.051825
0.75,4,4.053784
0.0,4,4.055831
0.5,4,4.057926
0.25,4,4.05988
0.25,4,4.061625
0.5,4,4.063497
0.5,4,4.065421
0.25,4,4.067373
0.5,4,4.069217
0.0,4,4.071041
0.5,4,4.07285
0.25,4,4.074905
1.0,4,4.076773
0.75,4,4.078676
0.25,4,4.080799
0.5,4,4.082857
0.25,4,4.084873
0.75,4,4.086735
0.75,4,4.088855
0.5,4,4.091063
0.5,4,4.093124
0.5,4,4.095103
0.0,4,4.097173
0.5,4,4.099062
0.5,4,4.101029
0.25,4,4.10304
0.75,4,4.105003
0.5,4,4.1069
0.0,4,4.108889
0.0,4,4.110853
0.5,4,4.11278
0.75,4,4.114727
0.5,4,4.116678
0.75,4,4.118696
0.75,4,4.120659
0.75,4,4.122482
0.5,4,4.124442
0.25,4,4.126216
0.25,4,4.128287
0.25,4,4.130389
0.5,4,4.132328
0.25,4,4.134323
0.75,4,4.136381
0.0,4,4.138366
0.25,4,4.140339
0.25,4,4.142424
0.5,4,4.144282
0.5,4,4.146049
0.75,4,4.147981
0.25,4,4.149719
0.5,4,4.151745
0.25,4,4.15374
0.75,4,4.155804
0.25,4,4.157664
0.25,4,4.159708
0.25,4,4.161724
0.75,4,4.163666
0.5,4,4.165797
0.25,4,4.167734
0.5,4,4.169618
0.25,4,4.171603
0.25,4,4.173555
0.0,4,4.175704
0.0,4,4.177691
0.75,4,4.179645
0.25,4,4.181745
0.75,4,4.183597
0.0,4,4.185516
0.5,4,4.187537
0.75,4,4.189385
0.75,4,4.191295
0.5,4,4.193176
0.0,4,4.195136
0.75,4,4.197117
0.5,4,4.199155
0.0,4,4.201055
0.25,4,4.203126
0.25,4,4.205098
0.25,4,4.20702
0.0,4,4.209
0.25,4,4.211022
0.25,4,4.212978
0.0,4,4.214943
1.0,4,4.982847
0.75,4,4.984905
0.5,4,4.98701
0.5,4,4.989166
0.75,4,4.991686
0.25,4,4.993668
0.5,4,4.995537
0.25,4,4.997378
0.25,4,4.999374
0.75,4,5.001495
0.5,4,5.003502
0.5,4,5.005428
0.75,4,5.007286
1.0,3,5.008713
0.0,4,5.010593
0.25,4,5.012672
0.75,4,5.014701
0.25,4,5.016621
0.25,4,5.018596
1.0,4,5.0206
0.25,4,5.022653
0.25,4,5.024558
0.25,4,5.026387
0.75,4,5.028307
0.25,4,5.030157
0.0,4,5.032288
0.5,4,5.034314
0.75,4,5.036354
0.25,4,5.03829
0.5,4,5.040308
0.75,4,5.042306
1.0,3,5.043879
0.5,4,5.045814
0.75,4,5.047823
0.5,4,5.049809
1.0,4,5.051985
0.75,4,5.053831
0.25,4,5.055763
0.25,4,5.057868
0.5,4,5.059994
0.75,4,5.062021
0.75,4,5.063947
0.5,4,5.065822
0.75,4,5.067708
0.25,4,5.069514
0.25,4,5.071489
0.5,4,5.073736
0.75,4,5.075695
0.5,4,5.077547
0.25,4,5.079546
0.75,4,5.081515
0.75,4,5.083356
0.25,4,5.085275
0.5,4,5.087219
0.25,4,5.089332
1.0,4,5.091256
0.0,4,5.093137
0.0,4,5.095178
0.25,4,5.09714
1.0,3,5.098519
0.75,4,5.100325
0.75,4,5.102171
0.5,4,5.104128
0.75,4,5.106232
0.75,4,5.108116
0.0,4,5.109876
0.25,4,5.111833
0.75,4,5.113792
0.5,4,5.115848
0.25,4,5.117908
0.25,4,5.119977
0.75,4,5.121932
0.75,4,5.123802
0.5,4,5.125915
0.25,4,5.127959
1.0,4,5.130011
0.25,4,5.13204
0.25,4,5.134221
0.5,4,5.13625
0.0,4,5.138254
0.75,4,5.140254
0.25,4,5.142295
0.25,4,5.144367
1.0,4,5.146358
0.25,4,5.148318
0.25,4,5.15021
0.75,4,5.152284
0.75,4,5.154203
0.75,4,5.156068
0.25,4,5.158222
0.25,4,5.160425
1.0,4,5.162329
1.0,3,5.163801
0.75,4,5.165635
0.0,4,5.167648
0.75,4,5.169513
0.75,4,5.17144
0.25,4,5.173385
1.0,4,5.175368
0.5,4,5.177378
0.25,4,5.179467
0.0,4,5.181249
0.5,4,5.183271
0.5,4,5.185245
0.0,4,5.187182
0.75,4,5.189125
0.25,4,5.190943
0.75,4,5.192715
0.75,4,5.194524
0.25,4,5.196436
0.5,4,5.198467
0.5,4,5.200493
0.0,4,5.202423
0.0,4,5.204485
0.75,4,5.206449
0.75,4,5.208401
0.5,4,5.210206
0.25,4,5.212268
0.0,4,5.214139
0.25,4,5.215973
0.25,4,5.217977
0.25,4,5.22007
0.25,4,5.22213
1.0,4,5.223914
0.0,4,5.226007
0.25,4,5.227891
0.0,4,5.229647
0.5,4,5.231577
0.0,4,5.233486
1.0,3,5.234923
0.25,4,5.23672
0.75,4,5.238802
0.25,4,5.240849
0.75,4,5.242911
0.25,4,5.244959
0.25,4,5.246938
0.75,4,5.248866
1.0,4,5.2507
0.0,4,5.252739
0.75,4,5.254569
1.0,3,5.256072
0.25,4,5.257944
0.75,4,5.259799
0.25,4,5.261777
0.0,4,5.263698
0.75,4,5.265654
0.75,4,5.26744
0.5,4,5.269238
0.75,4,5.271221
0.25,4,5.273266
0.25,4,5.27521
0.75,4,5.277065
1.0,4,5.279056
0.25,4,5.280938
0.75,4,5.282819
0.5,4,5.284548
0.75,4,5.286498
0.25,4,5.288481
0.75,4,5.290527
0.25,4,5.292329
0.0,4,5.294212
0.25,4,5.296107
0.5,4,5.297957
0.75,4,5.299975
0.5,4,5.301872
0.25,4,5.303836
0.25,4,5.305621
0.25,4,5.307447
0.5,4,5.3095
0.75,4,5.31145
0.75,4,5.313491
0.75,4,5.315534
0.75,4,5.317379
1.0,4,5.319398
0.75,4,5.321333
0.0,4,5.323323
0.75,4,5.325053
0.75,4,5.326909
0.0,4,5.328663
0.5,4,5.3305
0.5,4,5.332391
0.25,4,5.334259
0.0,4,5.336201
1.0,4,5.338238
0.25,4,5.340221
0.5,4,5.342163
0.25,4,5.344151
0.75,4,5.346222
0.0,4,5.348208
0.25,4,5.350218
0.5,4,5.352017
0.75,4,5.353985
0.0,4,5.355966
0.75,4,5.358015
0.25,4,5.360159
0.5,4,5.362137
0.25,4,5.364232
0.25,4,5.36623
1.0,3,5.367588
0.0,4,5.369775
1.0,3,5.371233
0.25,4,5.373256
0.25,4,5.375363
0.25,4,5.377368
0.25,4,5.379468
0.0,4,5.381297
0.75,4,5.383149
0.5,4,5.385074
0.0,4,5.386997
0.5,4,5.388969
0.5,4,5.390888
0.75,4,5.392698
0.25,4,5.394624
1.0,3,5.396117
0.25,4,5.398121
1.0,4,5.400004
1.0,3,5.401511
0.75,4,5.403425
0.25,4,5.405414
0.75,4,5.407405
0.5,4,5.409435
0.5,4,5.411491
0.25,4,5.41335
0.75,4,5.415302
0.0,4,5.417428
0.75,4,5.419438
1.0,3,5.42087
0.5,4,5.422847
0.0,4,5.424737
0.75,4,5.426626
0.75,4,5.428618
0.0,4,5.43046
0.75,4,5.432447
0.5,4,5.43444
0.5,4,5.436406
